car_name,brand,car_model,model_year,transmission,body_type,fuel_type,engine_capacity,kilometers_run,price
Toyota Noah G- Edition 2002,Toyota,Noah,2002,Automatic,MPV,"CNG, Octane",2000,78123 km,Rs 1120000
Toyota Hiace dx 2003,Toyota,Hiace,2003,Automatic,MPV,"CNG, Octane",2000,198522 km,Rs 460000
Toyota Hiace dx 2003,Toyota,Hiace,2003,Automatic,MPV,"CNG, Octane",2000,298521 km,Rs 320000
Toyota Hiace GL Vvti Low Floor 2003,Toyota,Hiace,2003,Automatic,MPV,"CNG, Octane",2000,274000 km,Rs 510000
Toyota Noah -X 2003,Toyota,Noah,2003,Automatic,MPV,"CNG, Octane",2000,81000 km,Rs 1060000
Toyota Noah X 2003,Toyota,Noah,2003,Automatic,MPV,"CNG, Octane",2000,81000 km,Rs 1050000
Toyota Noah GL 2003,Toyota,Noah,2003,Automatic,MPV,"CNG, Octane",1781,76000 km,Rs 830000
Toyota Noah X 2003,Toyota,Noah,2003,Automatic,MPV,"CNG, Octane",2000,116000 km,Rs 965000
Toyota Noah GL 2003,Toyota,Noah,2003,Automatic,MPV,"CNG, Octane",1800,65000 km,Rs 950000
Toyota Noah Strander Roof 2003,Toyota,Noah,2003,Automatic,MPV,"CNG, Octane",1800,65000 km,Rs 920000
Toyota Hiace HAICE GL 2004,Toyota,Hiace,2004,Automatic,MPV,"CNG, Octane",1996,121000 km,Rs 1190000
Toyota Hiace Super GL 2004,Toyota,Hiace,2004,Automatic,MPV,"CNG, Octane",2000,4283 km,Rs 695000
Toyota Noah KR 42 GL 2004,Toyota,Noah,2004,Automatic,MPV,"CNG, Octane",1800,112000 km,Rs 865000
Toyota Noah GL 2004,Toyota,Noah,2004,Automatic,MPV,"CNG, Octane",1800,95000 km,Rs 950000
Toyota Noah sun roof 2004,Toyota,Noah,2004,Automatic,MPV,"CNG, Octane",1800,81644 km,Rs 1035000
Toyota Probox succeed 2004,Toyota,Other Model,2004,Automatic,MPV,"CNG, Octane",1500,55000 km,Rs 650000
Toyota Sienta 7 SEAT 2004,Toyota,Sienta,2004,Automatic,MPV,"CNG, Octane",1500,73000 km,Rs 790000
Toyota Hiace Super GL 2005,Toyota,Hiace,2005,Automatic,MPV,"CNG, Octane",1990,89000 km,Rs 1490000
Toyota Hiace Central AC 2005,Toyota,Hiace,2005,Automatic,MPV,"CNG, Octane",2000,96000 km,Rs 1195000
Toyota Hiace Gl 2005,Toyota,Hiace,2005,Automatic,MPV,"CNG, Octane",2000,174596 km,Rs 1355000
Mitsubishi l300 WHITE 2005,Mitsubishi,l300,2005,Manual,MPV,"CNG, Octane",2000,85100 km,Rs 475000
Toyota Noah X 2005,Toyota,Noah,2005,Automatic,MPV,"CNG, Octane",2000,94000 km,Rs 1090000
Toyota Noah g edition 2005,Toyota,Noah,2005,Automatic,MPV,"CNG, Octane",2000,52345 km,Rs 1330000
Toyota Noah KR42 GL Stander Roof 2005,Toyota,Noah,2005,Automatic,MPV,"CNG, Octane",1800,85000 km,Rs 1035000
Toyota Noah X (All Auto) 2005,Toyota,Noah,2005,Automatic,MPV,"CNG, Octane",2000,152368 km,Rs 1300000
Toyota Noah X 2005,Toyota,Noah,2005,Automatic,MPV,"CNG, Octane",2000,38000 km,Rs 1280000
Toyota Noah X 2005,Toyota,Noah,2005,Automatic,MPV,"CNG, Octane",2000,68700 km,Rs 1290000
Toyota Noah X 2005,Toyota,Noah,2005,Automatic,MPV,"CNG, Octane",2000,69800 km,Rs 1295000
Toyota Noah X 2005,Toyota,Noah,2005,Automatic,MPV,"CNG, Octane",2000,38125 km,Rs 1280000
Toyota Noah DX KR 42 Low Floor 2005,Toyota,Noah,2005,Automatic,MPV,"CNG, Octane",1800,68000 km,Rs 860000
Toyota x-Noah 2005,Toyota,Other Model,2005,Automatic,MPV,"CNG, Octane",2000,55000 km,Rs 1220000
Toyota Noah GL 2006,Toyota,Noah,2006,Automatic,MPV,"CNG, Octane",1800,70000 km,Rs 1050000
Toyota Noah kr 42 2006,Toyota,Noah,2006,Automatic,MPV,"CNG, Octane",1800,53423 km,Rs 1180000
Toyota Noah KR42 2006,Toyota,Noah,2006,Automatic,MPV,"CNG, Octane",1800,77000 km,Rs 900000
Toyota Noah KR42 2006,Toyota,Noah,2006,Automatic,MPV,"CNG, Octane",1800,127000 km,Rs 1080000
Toyota Noah KR42 5 Door GL 2006,Toyota,Noah,2006,Automatic,MPV,"CNG, Octane",1800,81000 km,Rs 1135000
Toyota Noah DX 2006,Toyota,Noah,2006,Automatic,MPV,"CNG, Octane",1800,85000 km,Rs 1325000
Toyota Noah NOHA KR 42 2006,Toyota,Noah,2006,Automatic,MPV,"CNG, Octane",1800,68580 km,Rs 1190000
Mazda MPV 2005,Mazda,MPV,2007,Automatic,MPV,"CNG, Octane",2000,50000 km,Rs 950000
Toyota Noah x 2007,Toyota,Noah,2007,Automatic,MPV,"CNG, Octane",2000,85000 km,Rs 1395000
Toyota Hiace GL 5 Door 2008,Toyota,Hiace,2008,Automatic,MPV,"CNG, Octane",2000,85000 km,Rs 1570000
Toyota Noah TOWN ACE GL SILVER 2008,Toyota,Noah,2008,Automatic,MPV,"CNG, Octane",1500,75500 km,Rs 645000
Toyota Noah x si new shape red 2008,Toyota,Noah,2008,Automatic,MPV,"CNG, Octane",1998,63200 km,Rs 1598000
Toyota Noah X Smart 2008,Toyota,Noah,2008,Automatic,MPV,"CNG, Octane",2000,75000 km,Rs 1660000
Toyota TownAce GL 2008,Toyota,TownAce,2008,Automatic,MPV,"CNG, Octane",1500,71000 km,Rs 645000
Toyota Dyna pikup 2009,Toyota,Dyna,2009,Automatic,MPV,"CNG, Octane",1500,86764 km,Rs 1220000
Toyota Hiace New Engine 2009,Toyota,Hiace,2009,Automatic,MPV,"CNG, Octane",1998,56000 km,Rs 1800000
Toyota Hiace 2004,Toyota,Hiace,2009,Automatic,MPV,"CNG, Octane",1998,283500 km,Rs 850000
Toyota Noah X 2009,Toyota,Noah,2009,Automatic,MPV,"CNG, Octane",2000,76585 km,Rs 1765000
Toyota TownAce Noah 2009,Toyota,TownAce,2009,Automatic,MPV,"CNG, Octane",1500,89000 km,Rs 720000
Toyota Avanza super Fresh-G 2010,Toyota,Avanza,2010,Automatic,MPV,"CNG, Octane",1500,68452 km,Rs 1285000
Toyota Hiace Super GL 2010,Toyota,Hiace,2010,Automatic,MPV,"CNG, Octane",2000,72000 km,Rs 1795000
Toyota Hiace 2005,Toyota,Hiace,2010,Automatic,MPV,"CNG, Octane",2000,69000 km,Rs 1195000
Nissan Urvan Dx (১৫ সিট) 2010,Nissan,Urvan,2010,Manual,MPV,"CNG, Octane",2400,84652 km,Rs 1030000
Toyota Hiace Super GL 2011,Toyota,Hiace,2011,Automatic,MPV,"CNG, Octane",2000,79831 km,Rs 2135000
Toyota Hiace Black Color 2011,Toyota,Hiace,2011,Automatic,MPV,"CNG, Octane",1500,64000 km,Rs 2150000
Toyota Hiace সুপার জিয়েল 2011,Toyota,Hiace,2011,Automatic,MPV,"CNG, Octane",2000,64000 km,Rs 2150000
Toyota LiteAce lite ace 2011,Toyota,LiteAce,2011,Automatic,MPV,"CNG, Octane",1500,95000 km,Rs 440000
Toyota Noah X G Edition 2011,Toyota,Noah,2011,Automatic,MPV,"CNG, Octane",2000,56230 km,Rs 2045000
Toyota Noah X 2011,Toyota,Noah,2011,Automatic,MPV,"CNG, Octane",2000,94585 km,Rs 1965000
Toyota Noah X SMART PKG. 2011,Toyota,Noah,2011,Automatic,MPV,"CNG, Octane",2000,73388 km,Rs 2065000
Toyota Hiace GL duelac loan 2012,Toyota,Hiace,2012,Automatic,MPV,"CNG, Octane",2000,75000 km,Rs 1320000
Toyota LiteAce NOAH -GL 2012,Toyota,LiteAce,2012,Automatic,MPV,"CNG, Octane",1500,56000 km,Rs 850000
Toyota Noah NOHA SI G PKG 2012,Toyota,Noah,2012,Automatic,MPV,"CNG, Octane",2000,65480 km,Rs 2290000
Toyota Hiace Super GL 2013,Toyota,Hiace,2013,Automatic,MPV,"CNG, Octane",2000,55000 km,Rs 2420000
Toyota Hiace Ambulance Bank loan 2013,Toyota,Hiace,2013,Automatic,MPV,"CNG, Octane",2000,65000 km,Rs 900000
Toyota Hiace Super GLকিস্তি আছে12 2013,Toyota,Hiace,2013,Automatic,MPV,"CNG, Octane",2000,68000 km,Rs 2050000
Toyota Noah X HID LTD KIK 2013,Toyota,Noah,2013,Automatic,MPV,"CNG, Octane",1996,62500 km,Rs 2265000
Toyota Hiace GL 2014,Toyota,Hiace,2014,Automatic,MPV,"CNG, Octane",2000,48990 km,Rs 2295000
Toyota Hiace Super gl 2014,Toyota,Hiace,2014,Automatic,MPV,"CNG, Octane",2000,65199 km,Rs 2620000
Toyota Hiace Super GL Push Start 2014,Toyota,Hiace,2014,Automatic,MPV,"CNG, Octane",2000,65000 km,Rs 2700000
Toyota Corolla 2004,Toyota,Corolla,2004,Automatic,null,"CNG, Octane",1500,54000 km,Rs 960000
Toyota Noah 2007,Toyota,Noah,2007,Automatic,null,"CNG, Octane",2000,150000 km,Rs 1750000
Toyota Cressida 1983,Toyota,Other Model,1983,Manual,Saloon,"CNG, Octane",2000,122000 km,Rs 260000
Toyota Carina Mira Road 1990,Toyota,Carina,1990,Automatic,Saloon,"CNG, Octane",1600,298521 km,Rs 180000
Toyota Corolla ৯০ 1990,Toyota,Corolla,1990,Automatic,Saloon,"CNG, Octane",1331,285214 km,Rs 290000
Toyota Corolla 90sprinter 1990,Toyota,Corolla,1990,Automatic,Saloon,"CNG, Octane",1300,120000 km,Rs 140000
Toyota Corolla 90. 1990,Toyota,Corolla,1990,Automatic,Saloon,"CNG, Octane",1331,99000 km,Rs 260000
Toyota Corolla EE 90 1500cc 1990,Toyota,Corolla,1990,Manual,Saloon,"CNG, Octane",1500,274000 km,Rs 160000
Toyota Corolla 1989,Toyota,Corolla,1990,Manual,Saloon,"CNG, Octane",1300,280000 km,Rs 240000
Toyota Carina Myroad 1991,Toyota,Carina,1991,Automatic,Saloon,"CNG, Octane",1500,125000 km,Rs 250000
Toyota Carina my road 1991,Toyota,Carina,1991,Automatic,Saloon,"CNG, Octane",1500,100000 km,Rs 135000
